entity	neighbors
__chess_player_1	participant
__chess_set_1	chess board
__chest_1	male chest, breast, area of cardiac dullness, craniate, musculus pectoralis, thoracic vein, chest cavity, body part, body, gallbladder, bust
__chest_2	lid, pix, box
__chest_cavity_1	mediastinum, chest, bodily cavity
__chesterton_1	author
__chestnut_1	castanea ozarkensis, castanea mollissima, castanea, allegheny chinkapin, tree
__chestnut_oak_1	oak
__chevalier_1	actor, singer
__cheviot_hills_1	england, hill, scotland
__chevron_1	armed forces, badge
__chevrotain_1	ruminant, kanchil, hyemoschus aquaticus, napu
__chew_1	champ, chaw, grate, gnaw
__chew_3	change of state
__chew_over_1	introspect
__chewa_1	malawi, republic of zimbabwe, northern rhodesia, african
__chewing_gum_1	confection
__cheyenne_3	buffalo indian, algonquian
__chi_2	greek alphabet, alphabetic character
__chiang_chung_cheng_1	full general, national leader
__chiasm_1	anatomical structure
__chic_1	elegance, fashionable, dapperness
__chicago_1	port
__chicane_4	deceit, dupery
__chichipe_1	cactus, genus lemaireocereus
__chickadee_1	genus parus, tit
__chickasaw_1	american indian
__chickasaw_plum_1	wild plum, hog plum
__chicken_1	capon, chicken, chicken wing, poultry, doormat
__chicken_2	cock, capon, domestic fowl, chicken, biddy
__chicken_louse_1	bird louse, genus menopon
__chicken_wing_1	chicken, wing
__chickenfeed_1	cash
__chickpea_1	legume, chickpea
__chickpea_2	legume, chickpea
__chickweed_1	cerastium tomentosum, cerastium
__chickweed_phlox_1	genus phlox, phlox
__chicle_1	gum, chewing gum
__chico_1	marx brothers, comedian
__chicory_1	root, chicory, cichorium
__chicory_2	coffee substitute
__chicory_escarole_1	belgian endive
__chiding_1	rebuke
__chief_1	grand dragon, administrator, head of household, leader, don, important, secretary
__chief_constable_1	captain
__chief_executive_1	george washington, chief of state, grant, dwight deisenhower, abraham lincoln, president taft, cleveland, bush, andrew jackson
__chief_joseph_1	nez perce, indian chief
__chief_justice_1	president taft, chase, jay, john marshall
__chief_of_staff_1	military officer, armed forces
__chief_of_state_1	pm, chief executive, chancellor, representative
__chief_petty_officer_1	armed forces, noncom
__chieftain_1	leader, indian chief
__chiffonier_1	drawer, bureau
__chigger_1	genus tunga, flea
__chigger_2	trombiculiid, genus trombicula
__chihuahuan_desert_1	land of enchantment, lone star state, arizona
__child_1	buster, juvenile, urchin, bairn, foster child, imp, changeling, picaninny, child s body, sprog, child prodigy
__child_2	female offspring, babe, issue
__child_prodigy_1	prodigy, child
__child_s_body_1	baby tooth, child, juvenile body
__child_s_game_1	jump rope, game
__child_s_room_1	bedchamber
__childbed_1	asynclitism, uterine contraction, gestation, birth, effacement
__childhood_1	time of life, latency period, anal phase, phallic phase
__chile_1	punta arenas, antofagasta, south american country, lascar, andes, chilean, tupungatito, valparaiso, guallatiri, tupungato, oas, temuco, vina del mar, lautaro faction of the united popular action movement, chiloe, ojos del salado, capital of chile, south america, el muerto, manuel rodriquez patriotic front, cape froward
__chile_2	chili powder, capsicum annuum longum
__chile_bonito_1	genus sarda, bonito
__chile_hazel_1	genus guevina, bush
__chile_tarweed_1	tarweed
__chilean_1	south american, chile
__chilean_firebush_1	embothrium, bush
__chilean_jasmine_1	liana, dipladenia
__chilean_rimu_1	genus lepidothamnus, bush
__chili_1	dish
__chili_powder_1	flavorer
__chilliness_2	lukewarmness, emotionlessness
__chilling_1	temperature change, infrigidation
__chiloe_1	chile, island
__chilomastix_1	order polymastigina, protoctist genus
__chilomeniscus_1	sand snake, reptile genus
__chilomycterus_1	fish genus, diodontidae
__chilopoda_1	class, arthropoda, geophilomorpha
__chilopsis_1	chilopsis linearis, asterid dicot genus
__chilopsis_linearis_1	chilopsis, bush
__chimaera_1	greek mythology, mythical creature
__chimaeridae_1	genus chimaera
__chimaphila_1	family pyrolaceae, pipsissewa
__chimborazo_1	mountain peak
__chimney_2	flue, kerosene lamp
__chimneypiece_1	shelf, fireplace
__chimonanthus_1	calycanthaceae, chimonanthus praecox, magnoliid dicot genus
__chimonanthus_praecox_1	chimonanthus, bush
__chimp_1	pan troglodytes verus, bonobo, great ape
__chin_1	kamarupan, gymanstic exercise
__chin_2	goatee
__china_1	inner mongolia, manchuria, yalu, huang he, nan ning, mekong, acupressure, tien shan, egg roll, changan, nanjing, taiyuan, sinkiang, yunnan, hangchow, red guard, fengtien, yin, brown sauce, chinese wall, chongqing, taklamakan desert, sino tibetan, dim sum, tangshan, gobi, nan chang, chang, impei, asian country, gan jiang, luda, kuenlun, ch i, feng shui, hebei, beijing, falun gong, shanghai, pamir mountains, canton river, cattie, hunan, chinese, t ien ching, wuhan, yang, acupuncture, poyang, fortune cookie, loyang, nan ling, hong kong, cultural revolution, egg foo yong, chinese revolution, grand canal, gansu, sichuan
__china_2	crackle, porcelain
__china_3	taiwanese, capital of taiwan, island
__china_clay_1	kaopectate, clay
__china_fleece_vine_1	genus polygonum, vine
__china_tree_1	genus sapindus, soapberry
__chincapin_1	allegheny chinkapin, edible nut
__chinchilla_3	genus chinchilla, gnawer
__chinchillidae_1	hystricomorpha, abrocoma, genus chinchilla, genus lagostomus, genus lagidium
__chinchillon_1	gnawer, genus lagostomus
__chinchona_1	cinchona, calisaya, cartagena bark, cinchona pubescens
__chinese_1	sinitic
__chinese_2	china
__chinese_anise_1	chinese anise, genus illicium, anise tree
__chinese_anise_2	five spice powder, chinese anise, spice
__chinese_black_mushroom_1	genus lentinus, fungus
__chinese_date_1	edible fruit, christ s thorn
__chinese_deity_1	antiquity, shen pao, taoist trinity, ling pao, heavenly jewel, kuan yin, deity
__chinese_elm_1	elm, genus ulmus
__chinese_elm_2	elm, genus ulmus
__chinese_forget_me_not_1	herb
__chinese_gooseberry_2	actinidia chinensis, edible fruit
__chinese_holly_1	genus ilex, bush
__chinese_lacquer_tree_1	poisonous plant, genus toxicodendron
__chinese_mushroom_1	agaric, genus volvariella
__chinese_paddlefish_1	genus psephurus, ganoid
__chinese_parasol_1	firmiana, tree
__chinese_parsley_1	coriander, chinese parsley, coriandrum, herb
__chinese_revolution_1	revolution
__chinese_scholar_tree_1	genus sophora, tree
__chinese_wall_1	bulwark, china
__chinese_water_chestnut_1	spike rush, water chestnut
__chino_1	cloth, chino
__chino_japanese_war_1	war
__chinook_1	air current
__chinook_2	chinook, salmon
__chiococca_1	blolly
__chionanthus_1	dicot genus, fringe tree, family oleaceae
__chios_1	ellas, aegean island
__chip_8	computer, microprocessor, integrated circuit, dna chip, semiconductor
__chip_in_1	give, combine
__chipolata_1	sausage
__chippewa_1	buffalo indian, algonquian
__chipping_sparrow_1	genus spizella, new world sparrow
__chironomidae_1	chironomus, arthropod family, midge
__chironomus_1	chironomidae, arthropod genus
__chiroptera_1	megachiroptera, microchiroptera, bat
__chiseler_1	card shark
__chisholm_trail_1	lone star state, kansas
__chislev_1	jewish calendar month
__chiton_2	mollusc
__chittagong_1	city, bangla desh, port
__chives_2	allium schoenoprasum, herb
__chlamydera_1	chlamydera nuchalis, family ptilonorhynchidae
__chlamydera_nuchalis_1	bowerbird, chlamydera
__chlamydia_1	genus chlamydia, eubacteria
__chlamydiaceae_1	genus chlamydia, order rickettsiales
__chlamydomonadaceae_1	chlamydomonas
__chlamydomonas_1	chlamydomonadaceae, protoctist genus
__chlamydosaurus_1	chlamydosaurus kingi, agamidae, reptile genus
__chlamydosaurus_kingi_1	agamid, chlamydosaurus
__chlamyphore_1	armadillo
__chlamyphorus_1	dasypodidae
__chlamys_1	corolla, bloom, cover, calyx
__chloranthaceae_1	dicot family, order piperales, chloranthus
__chloranthus_1	dicot genus, chloranthaceae
__chloride_1	calomel
__chlorine_dioxide_1	blanching agent, dioxide
__chlorine_water_1	blanching agent, solution
__chloris_1	liliopsid genus, family graminaceae
__chlorococcales_1	protoctist order, genus chlorella, chlorococcum
__chlorococcum_1	chlorococcales, protoctist genus
__chloroform_2	inhalation anaesthetic
__chlorophis_1	colubridae, green snake
__chlorophoneus_1	black fronted bush shrike, malaconotinae
__chlorophthalmidae_1	fish family, greeneye, malacopterygii
__chlorophyceae_1	order volvocales, class, chlorophyta, oedogoniales
__chlorophyta_1	chlorophyceae, chlorophyte, class ulvophyceae, charophyceae, kingdom protoctista, division
__chlorophyte_1	stonewort, laver, spirogyra, chlorophyta, desmid, pond scum
__chlorothiazide_1	thiazide, antihypertensive
__chloroxylon_1	rosid dicot genus, chloroxylon swietenia, family meliaceae
__chloroxylon_swietenia_1	chloroxylon
__chlorpromazine_1	phenothiazine
__chlorura_1	family fringillidae, bird genus, chlorura chlorura
__chlorura_chlorura_1	chlorura, towhee
__chock_1	block
__chock_full_1	full
__chocolate_1	beverage
__chocolate_2	food, cocoa butter, chocolate candy
__chocolate_candy_1	chocolate kiss, chocolate
__chocolate_kiss_1	chocolate candy, candy kiss
__choeronycteris_1	choeronycteris mexicana, family phyllostomatidae, mammal genus
__choeronycteris_mexicana_1	leaf nosed bat, choeronycteris
__choice_1	favorite, deciding
__choice_2	election, sampling, ballot
__choice_morsel_1	dainty
__choice_of_words_1	expression
__choir_1	chorus, chorister, sing, music
__choir_3	bema, area
__choke_1	compact, breathe
__choke_2	compact, bottle up
__choke_5	become
__choke_6	enrich, dampen
__choke_8	coil
__choke_back_1	conquer
__chokecherry_1	cherry, chokecherry
__choker_4	collar
__choler_1	testiness
__cholesterin_1	ldl cholesterol, hdl cholesterol, steroid alcohol
__cholla_1	cactus, genus opuntia
__choloepus_1	family megalonychidae, mammal genus, choloepus hoffmanni
__choloepus_didactylus_1	sloth
__choloepus_hoffmanni_1	choloepus, sloth
__chondrichthyes_1	craniata
__chondrus_1	carageen, family gigartinaceae
__chongqing_1	city, china
__choose_1	dial, decide, vote, field, elect, pick, adopt, empanel, draw
__chop_2	cut
__chop_4	ground ball
__chop_off_1	come away, abscise
__chop_suey_greens_1	chop suey greens, genus chrysanthemum
__chopin_1	author
__chopin_2	pianist, composer
__chopper_3	heavier than air craft, blade, landing skid
__choragus_1	antiquity
__chord_1	alter
__chord_2	musical note
__chordata_1	subphylum tunicata, chordate family, chordate, animal kingdom, cephalochordata, phylum, chordate genus, craniata
__chordate_1	craniate, animal, tunicate, cephalochordate, chordata
__chordate_family_1	family salpidae, family, amphioxidae, chordata
__chordate_genus_1	chordata, genus salpa, genus doliolum, genus appendicularia, genus amphioxus
__chordeiles_1	bullbat
__chordophone_1	lute, mandolin, stringed instrument, harp
__chordospartium_1	rosid dicot genus, papilionoideae
__chore_1	duty, ball breaker
__choreographer_1	ruth saint denis, cunningham, graham, tharp, antony tudor, alicia alonso, astaire, jamison, eugene curran kelly, leonid fyodorovich myasin, agnes de mille, balanchine, baryshnikov
__choreography_1	dance, belly dance, cakewalk, modern dance, ballet, show
__chorine_1	chorus, dancer
__chorion_1	amniote, sac
__choriotis_1	choriotis australis
__choriotis_australis_1	choriotis, bustard
__chorister_1	choir, singer
__chorizagrotis_1	family noctuidae, army cutworm, arthropod genus
__chorizema_1	flame pea, rosid dicot genus, papilionoideae
__choroid_1	membrane, eye
__choroid_plexus_1	arteria choroidea, plexus
__chortle_1	laugh, express joy
__chorus_3	choir, musical group
__chorus_4	song, music
__chorus_5	line, corps de ballet, chorine
__chorus_6	company, singing
__chosen_1	elite
__chou_en_lai_1	revolutionary, commie
__chow_line_1	queue, armed forces
__christ_1	el nino, deliverer, logos, hebrew, prophet
__christ_plant_1	euphorbia, spurge
__christ_s_resurrection_1	miracle, new testament
__christ_s_thorn_1	bush
__christ_s_thorn_2	chinese date, bush
__christendom_1	church, christian church, body
__christian_1	christian church, religious person, apostle, protestant, friend, copt, shaker, apostelic father
__christian_church_1	armenian apostolic orthodox church, unification church, coptic church, christian, christendom, faith
__christian_holy_day_1	august 6, march 19, january 20, june 29, twelfth night, all soulsday, holy day of obligation, mardi gras, good friday, epiphany
__christian_religion_1	hell, annunciation, ascension, ransomed, council, communion, errancy, inerrancy, incarnation, august 6, nicene creed, cursed, article of faith, protestantism, albigensianism, transubstantiate, real presence, catholicism, antichrist, assumption, receive, mortification, paradise, tritheism, ecumenicalism, laurentius, faith
__christian_theology_1	grace, patristics, nativity, advent
__christian_year_1	saint s day
__christmas_1	dec, boxing day, season
__christmas_2	feast day, dec, quarter day
__christmas_berry_1	genus lycium, bush
__christmas_berry_2	genus heteromeles, bush
__christmas_box_1	backsheesh
__christmas_cactus_1	cactus, genus schlumbergera
__christmas_cake_1	fruitcake
__christmas_flower_1	euphorbia, spurge
__christmas_green_1	club moss
__christmas_tree_1	parasitic plant, genus nuytsia
__christopher_marlowe_1	dramatist, poet
__chroma_1	color property, chromatic color
__chromatic_2	blue, blushful, chukker brown, caramel, aureate, coral
__chromatic_color_1	blue, purple, yellow, olive, color, orange, green
__chromatin_1	body substance, cell nucleus
__chrome_1	plate
__chromite_1	mineral
__chromophore_1	chemical group, dye
__chromosomal_aberration_1	sex linked disorder, trisomy, aberrance
__chromosomal_mutation_1	deletion, genetic science, transposition, mutagenesis, alteration, inversion
__chromosome_1	sex chromosome, nucleolar organiser, centromere, cistron, body, cell nucleus
__chromosome_mapping_1	procedure, genetic science
__chronic_leukemia_1	chronic myelocytic leukemia, cancer of the blood
__chronic_myelocytic_leukemia_1	granulocytic leukemia, chronic leukemia
__chronic_obstructive_pulmonary_disease_1	emphysema
__chronological_sequence_1	temporal arrangement
__chronoperates_1	chronoperates paradoxus, order therapsida
__chronoperates_paradoxus_1	chronoperates, protomammal
__chrysanthemum_1	chrysanthemum, bloom
__chrysanthemum_2	chrysanthemum coronarium, chrysanthemum, aster family, chrysanthemum segetum, flower
__chrysanthemum_cinerariifolium_1	herb, genus tanacetum
__chrysanthemum_coccineum_1	genus tanacetum
__chrysanthemum_coronarium_1	chrysanthemum, genus chrysanthemum
__chrysanthemum_lacustre_1	genus leucanthemum, composite
__chrysanthemum_leucanthemum_1	genus leucanthemum, flower
__chrysanthemum_maximum_1	genus leucanthemum, composite
__chrysanthemum_maximum_maximum_1	genus leucanthemum, composite
__chrysanthemum_parthenium_1	herb, genus tanacetum
__chrysanthemum_ptarmiciflorum_1	composite, genus tanacetum
__chrysanthemum_segetum_1	chrysanthemum, genus chrysanthemum
__chrysaora_1	class scyphozoa, chrysaora quinquecirrha
__chrysaora_quinquecirrha_1	jellyfish, chrysaora
__chrysemys_1	emydidae, chrysemys picta, reptile genus
__chrysemys_picta_1	turtle, chrysemys
__chrysobalanus_1	chrysobalanus icaco, rosid dicot genus, family rosaceae
__chrysobalanus_icaco_1	coco plum, chrysobalanus
__chrysoberyl_1	mineral, opaque gem
__chrysochloridae_1	insectivora, mammal family
__chrysochloris_1	mammal genus, golden mole
__chrysolepis_1	hamamelid dicot genus, castanea chrysophylla, beech family
__chrysolophus_1	chrysolophus pictus, bird genus, family phasianidae
__chrysolophus_pictus_1	pheasant, chrysolophus
__chrysomelid_1	beetle, chrysomelidae
__chrysomelidae_1	genus leptinotarsa, coleoptera, chrysomelid, arthropod family
__chrysophrys_1	family sparidae, black bream, chrysophrys auratus
__chrysophrys_auratus_1	chrysophrys
__chrysophyceae_1	class, chrysophyta
__chrysophyllum_1	dicot genus, family sapotaceae, caimito
__chrysophyta_1	class xanthophyceae, chrysophyceae, golden algae, yellow green algae, bacillariophyceae
__chrysopid_1	lacewing, chrysopidae
__chrysopidae_1	neuroptera, chrysopid, arthropod family
__chrysoprase_1	transparent gem, calcedony
__chrysopsis_1	aster family, asterid dicot genus, golden aster
__chrysopsis_villosa_1	wild flower, genus heterotheca
__chrysosplenium_1	chrysosplenium americanum, family saxifragaceae, rosid dicot genus
__chrysosplenium_americanum_1	golden saxifrage, chrysosplenium
__chrysothamnus_1	chrysothamnus nauseosus, asterid dicot genus
__chrysothamnus_nauseosus_1	chrysothamnus, goldenbush
__chub_1	genus leuciscus, cyprinid
__chub_mackerel_1	mackerel, genus scomber
__chuck_1	abandon, throw
__chuck_2	caress
__chuck_5	side of beef, blade, cut of beef
__chufa_1	sedge, cyperus
__chuffed_1	pleased
__chukaku_ha_1	foreign terrorist organization
__chukker_brown_1	chromatic
__chula_vista_1	city, ca
__chum_1	salmon, genus oncorhynchus
__chunga_1	wader, genus chunga
__chunk_1	accumulate, group
__chunking_1	psychological science, configuration
__church_2	presbytery, rood screen, apse, transept, cathedral, sacristy, church tower, side chapel, nave, lady chapel, narthex
__church_3	puritanism, disestablish, banns, official, divine service, divine office, church bell, separationist, high anglican church, crypt
__church_4	body, christendom
__church_bell_1	church, bell
__church_calendar_1	gregorian calendar, shrovetide, advent
__church_doctrine_1	nicene creed, ecumenicalism, original sin, dogma, immaculate conception, ahimsa, incarnation, real presence
__church_father_1	irenaeus, theologian, basil, augustine, eusebius hieronymus, ambrose
__church_festival_1	festival, feast of booths
__church_music_1	religious song, antiphon, antiphonal
__church_of_jesus_christ_of_latter_day_saints_1	protestant denomination, latter day saint
__church_of_rome_1	college of cardinals, novena, domestic prelate, missal, ignatius of loyola, monsignor, aquinas, january, sursum corda, great schism, kiss of peace, eusebius hieronymus, ultramontanism, stations, postulator, irenaeus, indulgence, monstrance, cardinal, roman catholic, internuncio, pallium, rome, penitent, seminarian, francis of assisi, little office, canonisation, vulgate, rota, confession, nuncio, gregory, gradual, catholic church, basil, augustine, placebo, becket, mass card, domingo de guzman, holy year, bishop, vicar general, beatification, beguine, sister, john chrysostom, office of the dead, dean, provincial, doctor, brother, spiritual bouquet
__church_of_the_brethren_1	baptist denomination, dunkard
__church_property_1	benefice, belongings
__church_tower_1	church, tower
__churchman_1	clergyman, bruno
__churl_2	disagreeable person, crab
__churn_up_1	repel
__chute_1	rescue equipment, static line, harness, dive, canopy, shroud, ripcord
__chute_2	skid, gutter
__chutzpa_1	yiddish
__chyle_1	bodily fluid
__chymosin_1	coagulase, enzyme, gastric juice
__chytridiaceae_1	chytridiales, fungus family
__chytridiales_1	family synchytriaceae, chytridiaceae, fungus order, chytridiomycetes
__chytridiomycetes_1	chytridiales
__ciardi_1	poet, literary critic
__cibotium_1	cibotium barometz
__cibotium_barometz_1	cibotium, tree fern
__cicada_1	cicadidae, magicicada septendecim, dog day cicada
__cicada_killer_1	digger wasp, genus sphecius
__cicadellidae_1	leafhopper, homoptera, arthropod family
__cicadidae_1	arthropod family, genus cicada, genus magicicada, genus tibicen, cicada
__cicer_1	rosid dicot genus, papilionoideae
__cicero_2	orator, national leader
__cichlid_1	cichlidae, percoid
__cichlidae_1	fish family, genus tilapia, cichlid
__cichorium_1	cichorium endivia, aster family, chicory, asterid dicot genus
__cichorium_endivia_1	herb, cichorium, belgian endive
__cicindelidae_1	coleoptera, tiger beetle, arthropod family
__ciconia_1	black stork, ciconia ciconia
__ciconia_ciconia_1	stork, ciconia
__ciconiidae_1	genus xenorhyncus, anastomus, genus jabiru, bird family, genus mycteria, genus leptoptilus
__ciconiiformes_1	family plataleidae, family phoenicopteridae, family ibidiidae
__cicuta_1	apiaceae, cicuta verosa, spotted cowbane
__cicuta_verosa_1	poisonous plant, cicuta
__cid_1	u sarmy criminal investigation laboratory, law enforcement agency
__cider_1	scrumpy, hard cider
__cigar_box_cedar_1	cedrela odorata, mahogany
__cigarette_butt_1	butt
__cigarfish_1	scad, decapterus
__ciliata_1	class, phylum protozoa, genus vorticella, genus paramecium, genus tetrahymena, genus stentor
__ciliate_1	tetrahymena, stentor, infusorian, paramecia, rough, vorticella
__cilioflagellata_1	family peridiniidae, class flagellata, dinoflagellate
__cilium_1	hair, eyelid, cell organ
__cimarron_1	land of enchantment, river
__cimetidine_1	histamine blocker, alkaliser
__cimex_1	bed bug
__cimicidae_1	hemiptera
__cimicifuga_1	bugbane, buttercup family
__cinch_1	fasten, ascertain
__cinch_3	harness, saddlery
__cinchona_1	chinchona, bark
__cinchona_pubescens_1	chinchona, genus chinchona
__cincinnati_1	city, buckeye state
__cinclidae_1	dipper, oscines, bird family
__cinclus_1	cinclus aquaticus, bird genus, american water ouzel
__cinclus_aquaticus_1	dipper, cinclus
__cincture_1	band
__cine_film_1	sound film, film
__cine_projector_1	projector, lamp house
__cinema_2	fleapit, house
__cinematography_1	photography
__cineraria_1	genus pericallis, flower
__cineraria_maritima_1	genus senecio, bush
__cingulate_gyrus_1	neural structure, limbic brain
__cingulum_1	anatomical structure, anatomy
__cinnabar_1	mineral
__cinnamene_1	polyvinyl resin, polystyrene
__cinnamomum_1	cinnamomum loureirii, camphor tree, magnoliid dicot genus
__cinnamomum_loureirii_1	cinnamon bark, cinnamomum
__cinnamon_1	ceylon cinnamon, bark
__cinnamon_3	ceylon cinnamon, spice
__cinnamon_bark_1	bark, cinnamomum loureirii
__cinquefoil_1	genus potentilla, bush
__cipher_2	message, common man
__cira_1	foreign terrorist organization, act of terrorism
__circaea_1	evening primrose family, rosid dicot genus, enchanter s nightshade
__circaetus_1	harrier eagle, bird genus, accipitridae
__circassian_1	abkhas
__circassian_walnut_1	english walnut, genus juglans, walnut
__circis_siliquastrum_1	cercis, angiospermous tree
__circle_1	bear, cloister
__circle_2	arc, go, loop, ellipse
__circle_4	road, junction, form
__circle_5	pace lap, flunitrazepan
__circle_6	disc, seating
__circle_of_willis_1	arteria, brain
__circuit_1	electronic equipment, bridge, short, bypass, closed circuit, clipper, electron tube, electrical relay
__circuit_2	journey, whistle stop tour
__circuit_4	racecourse
__circuit_court_of_appeals_1	judicial branch, appeals court
__circuitous_1	indirect
__circular_2	capitate
__circular_function_1	function, cos
__circularise_1	canvas, send around
__circularity_1	roundness, eccentricity
__circulate_1	send around, scatter, displace
__circulation_1	airing
__circulation_2	organic phenomenon, blood pressure
__circulation_4	change of location, flora
__circumcision_1	anglican church, feast day
__circumcision_2	religious rite
__circumference_1	border, size
__circumflex_artery_1	arteria, arteria circumflexa scapulae, arteria circumflexa humeri
__circumnavigation_1	travel, aeroplane
__circumscribe_1	content, curb, decrease
__circumscribe_2	geometry, delineate
__circumstance_1	case, condition
__circumstance_2	information, mitigating circumstance
__circumstances_1	bad luck, good fortune, condition
__circumstantial_evidence_1	jurisprudence, evidence
__circumvent_3	avoid
__circumvolve_1	turn, crank
__circus_2	antiquity, arena
__circus_3	big top, arena
__circus_4	circus aeruginosus, harrier, bird genus, circus pygargus, circus cyaneus
__circus_aeruginosus_1	circus, harrier
__circus_cyaneus_1	circus, harrier
__circus_pygargus_1	circus, harrier
__cirripedia_1	class, family lepadidae, class crustacea
__cis_1	georgia, kazak, russia, global organization, moldavia, kirghiz, republic of uzbekistan
__cisc_1	international intelligence agency
__cisc_2	architecture, computer science
__cisco_1	whitefish
__cistaceae_1	dilleniid dicot family, genus hudsonia, cistus, hypericales
__cistern_1	pool, sac, reservoir
__cistothorus_1	marsh wren, bird genus, family troglodytidae
__cistron_1	operator gene, chromosome, regulator gene, homeotic gene, allele, sequence
__cistus_1	cistaceae, dilleniid dicot genus
__cistus_ladanifer_1	rock rose
__citation_1	accolade
__citation_2	speech act, jurisprudence
__citation_4	epigraph, excerpt
__citation_5	jurisprudence, process
__citation_form_1	dictionary entry, descriptor
__cite_1	authorship, compose
__cite_5	call, vouch in
__citellus_1	family sciuridae, gopher
__citharichthys_1	sand dab, whiff
__citizen_1	elector, citizenry
__citizenry_1	group, citizen
__citizenship_1	legal status, jurisprudence
__citizenship_day_1	sep, day
__citlaltepetl_1	mexico, volcano
__citrange_1	citrus, citrous fruit
__citrate_1	change state
__citric_acid_cycle_1	biological process, metabolic process, oxidative phosphorylation
__citroncirus_1	rosid dicot genus, family rutaceae
__citronwood_1	wood, citron
__citronwood_2	wood, callitris quadrivalvis
__citrophilous_mealybug_1	mealy bug, genus pseudococcus
__citrous_fruit_1	kumquat, citrange, citron, grapefruit, section, pomelo, lemon, lime
__citrullus_1	dicot genus, cucurbitaceae
__citrullus_vulgaris_1	watermelon
__citrus_2	citrange, citrus decumana, citrus paradisi, citrus limonia, genus citrus, citrus tangelo, citrus limon, citrus reticulata, fruit tree, orange
__citrus_aurantifolia_1	genus citrus
__citrus_decumana_1	pomelo, genus citrus, citrus
__citrus_limetta_1	genus citrus, citrus limon
__citrus_limon_1	genus citrus, citrus, lemon, citrus limetta
__citrus_limonia_1	genus citrus, citrus
__citrus_mealybug_1	mealy bug, genus planococcus
__citrus_nobilis_1	orange, temple orange
__citrus_paradisi_1	grapefruit, citrus
__citrus_reticulata_1	clementine, genus citrus, citrus, tangerine, satsuma
__citrus_sinensis_1	orange, sweet orange
__citrus_tangelo_1	tangelo, citrus
__citrus_whitefly_1	whitefly, aleyrodes
__citta_del_vaticano_1	city, holy see, vatican
